type,step,key,value
parameter,0,dataset,wikidata5mpykeen
parameter,0,model.cls,TransE
parameter,0,model.kwargs.embedding_dim,100
parameter,0,optimizer.cls,Adam
parameter,0,optimizer.kwargs,
parameter,0,negative_sampler.cls,BasicNegativeSampler
parameter,0,negative_sampler.kwargs,
parameter,0,training_loop.cls,SLCWATrainingLoop
parameter,0,training.num_epochs,80
parameter,0,training.checkpoint_name,checkpoint_TransE_fullW5M_80epochs.pt
parameter,0,training.checkpoint_frequency,30
parameter,0,training.checkpoint_directory,/hpi/fs00/scratch/lena.schwertmann/pycharm_master_thesis/results/TransE_fullW5M_80epochs/checkpoints
parameter,0,training.checkpoint_on_failure,True
metric,80,hits_at_k.tail.pessimistic.1,0.048023238498554735
metric,80,hits_at_k.tail.pessimistic.3,0.10894168140491738
metric,80,hits_at_k.tail.pessimistic.5,0.1561714002460115
metric,80,hits_at_k.tail.pessimistic.10,0.247364963965232
metric,80,hits_at_k.tail.optimistic.1,0.048023238498554735
metric,80,hits_at_k.tail.optimistic.3,0.1089427013530632
metric,80,hits_at_k.tail.optimistic.5,0.1561714002460115
metric,80,hits_at_k.tail.optimistic.10,0.247364963965232
metric,80,hits_at_k.head.realistic.1,0.0006425673318768474
metric,80,hits_at_k.head.realistic.3,0.006331838089351538
metric,80,hits_at_k.head.realistic.5,0.008814391876317008
metric,80,hits_at_k.head.realistic.10,0.012347492253493832
metric,80,hits_at_k.head.pessimistic.1,0.0006425673318768474
metric,80,hits_at_k.head.pessimistic.3,0.006331838089351538
metric,80,hits_at_k.head.pessimistic.5,0.008814391876317008
metric,80,hits_at_k.head.pessimistic.10,0.012347492253493832
metric,80,hits_at_k.head.optimistic.1,0.0006425673318768474
metric,80,hits_at_k.head.optimistic.3,0.006331838089351538
metric,80,hits_at_k.head.optimistic.5,0.008814391876317008
metric,80,hits_at_k.head.optimistic.10,0.012347492253493832
metric,80,hits_at_k.both.realistic.1,0.024332902915215792
metric,80,hits_at_k.both.realistic.3,0.057636759747134454
metric,80,hits_at_k.both.realistic.5,0.08249289606116425
metric,80,hits_at_k.both.realistic.10,0.12985622810936293
metric,80,hits_at_k.both.pessimistic.1,0.024332902915215792
metric,80,hits_at_k.both.pessimistic.3,0.057636759747134454
metric,80,hits_at_k.both.pessimistic.5,0.08249289606116425
metric,80,hits_at_k.both.pessimistic.10,0.12985622810936293
metric,80,hits_at_k.both.optimistic.1,0.024332902915215792
metric,80,hits_at_k.both.optimistic.3,0.057637269721207376
metric,80,hits_at_k.both.optimistic.5,0.08249289606116425
metric,80,hits_at_k.both.optimistic.10,0.12985622810936293
metric,80,adjusted_arithmetic_mean_rank.tail.realistic,0.004380289640718126
metric,80,adjusted_arithmetic_mean_rank.head.realistic,0.16261088216069075
metric,80,adjusted_arithmetic_mean_rank.both.realistic,0.07669789870052152
metric,80,adjusted_arithmetic_mean_rank_index.tail.realistic,0.9956208479860947
metric,80,adjusted_arithmetic_mean_rank_index.head.realistic,0.8373902545461703
metric,80,adjusted_arithmetic_mean_rank_index.both.realistic,0.9233032469404645
